english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook,,
January,1月,月,,1,"Hi, I'm Hana. H-a-n-a.",11,es_word,ES,5,Blue Sky Elementary 5,,
February,2月,月,,1,"Hi, I'm Hana. H-a-n-a.",11,es_word,ES,5,Blue Sky Elementary 5,,
March,3月,月,,1,"Hi, I'm Hana. H-a-n-a.",11,es_word,ES,5,Blue Sky Elementary 5,,
April,4月,月,,1,"Hi, I'm Hana. H-a-n-a.",11,es_word,ES,5,Blue Sky Elementary 5,,
May,5月,月,,1,"Hi, I'm Hana. H-a-n-a.",11,es_word,ES,5,Blue Sky Elementary 5,, 
June,6月,月,,1,"Hi, I'm Hana. H-a-n-a.",11,es_word,ES,5,Blue Sky Elementary 5,,
July,7月,月,,1,"Hi, I'm Hana. H-a-n-a.",11,es_word,ES,5,Blue Sky Elementary 5,,
August,8月,月,,1,"Hi, I'm Hana. H-a-n-a.",10,es_word,ES,5,Blue Sky Elementary 5,,
September,9月,月,,1,"Hi, I'm Hana. H-a-n-a.",10,es_word,ES,5,Blue Sky Elementary 5,,
October,10月,月,,1,"Hi, I'm Hana. H-a-n-a.",10,es_word,ES,5,Blue Sky Elementary 5,,
November,11月,月,,1,"Hi, I'm Hana. H-a-n-a.",10,es_word,ES,5,Blue Sky Elementary 5,,
December,12月,月,,1,"Hi, I'm Hana. H-a-n-a.",10,es_word,ES,5,Blue Sky Elementary 5,,
Children's Day,子供の日,特徴,,1,"Hi, I'm Hana. H-a-n-a.",118,es_word,ES,5,Blue Sky Elementary 5,,
Christmas,クリスマス,特徴,,1,"Hi, I'm Hana. H-a-n-a.",118,es_word,ES,5,Blue Sky Elementary 5,,
Dolls' Festival,雛祭り,特徴,,1,"Hi, I'm Hana. H-a-n-a.",13,es_word,ES,5,Blue Sky Elementary 5,,
Father's Day,父の日,特徴,,1,"Hi, I'm Hana. H-a-n-a.",118,es_word,ES,5,Blue Sky Elementary 5,,
festival,お祭り,特徴,,1,"Hi, I'm Hana. H-a-n-a.",118,es_word,ES,5,Blue Sky Elementary 5,,
Halloween,ハロウィン,特徴,,1,"Hi, I'm Hana. H-a-n-a.",118,es_word,ES,5,Blue Sky Elementary 5,,
Mother's Day,母の日,特徴,,1,"Hi, I'm Hana. H-a-n-a.",118,es_word,ES,5,Blue Sky Elementary 5,,
Mountain Day,山の日,特徴,,1,"Hi, I'm Hana. H-a-n-a.",42,es_word,ES,5,Blue Sky Elementary 5,,
New Year's Day,元日,特徴,,1,"Hi, I'm Hana. H-a-n-a.",118,es_word,ES,5,Blue Sky Elementary 5,,
New Year's Eve,大晦日,特徴,,1,"Hi, I'm Hana. H-a-n-a.",118,es_word,ES,5,Blue Sky Elementary 5,,
Snow Festival,雪まつり,特徴,,1,"Hi, I'm Hana. H-a-n-a.",59,es_word,ES,5,Blue Sky Elementary 5,,
Star Festival,七夕,特徴,,1,"Hi, I'm Hana. H-a-n-a.",,es_word,ES,5,Blue Sky Elementary 5,,
Valentine's Day,バレンタインデー,特徴,,1,"Hi, I'm Hana. H-a-n-a.",,es_word,ES,5,Blue Sky Elementary 5,,
birthday,誕生日,特徴,,1,"Hi, I'm Hana. H-a-n-a.",10,es_word,ES,5,Blue Sky Elementary 5,,
arts and crafts,美術・工作,教科,,2,My birthday is May 25th.,22,es_word,ES,5,Blue Sky Elementary 5,,
calligraphy,書道,教科,,2,My birthday is May 25th.,22,es_word,ES,5,Blue Sky Elementary 5,,
English Festival,英語祭,教科,,2,My birthday is May 25th.,22,es_word,ES,5,Blue Sky Elementary 5,,
home economics,家庭科,教科,,2,My birthday is May 25th.,22,es_word,ES,5,Blue Sky Elementary 5,,
Japanese,日本語,教科,,2,My birthday is May 25th.,22,es_word,ES,5,Blue Sky Elementary 5,,
math,数学,教科,,2,My birthday is May 25th.,20,es_word,ES,5,Blue Sky Elementary 5,,
moral education,道徳教育,教科,,2,My birthday is May 25th.,22,es_word,ES,5,Blue Sky Elementary 5,,
music,音楽,教科,,2,My birthday is May 25th.,22,es_word,ES,5,Blue Sky Elementary 5,,
P.E.,体育,教科,,2,My birthday is May 25th.,22,es_word,ES,5,Blue Sky Elementary 5,,
science,科学,教科,,2,My birthday is May 25th.,22,es_word,ES,5,Blue Sky Elementary 5,,
social studies,社会科,教科,,2,My birthday is May 25th.,22,es_word,ES,5,Blue Sky Elementary 5,,
subject,科目,教科,,2,My birthday is May 25th.,,es_word,ES,5,Blue Sky Elementary 5,,
Snow Festival,雪まつり,特徴,,2,My birthday is May 25th.,20,es_word,ES,5,Blue Sky Elementary 5,,
Monday,月曜日,曜日,,2,My birthday is May 25th.,,es_word,ES,5,Blue Sky Elementary 5,,
Tuesday,火曜日,曜日,,2,My birthday is May 25th.,,es_word,ES,5,Blue Sky Elementary 5,,
Wednesday,水曜日,曜日,,2,My birthday is May 25th.,,es_word,ES,5,Blue Sky Elementary 5,,
Thursday,木曜日,曜日,,2,My birthday is May 25th.,26,es_word,ES,5,Blue Sky Elementary 5,,
Friday,金曜日,曜日,,2,My birthday is May 25th.,26,es_word,ES,5,Blue Sky Elementary 5,,
Saturday,土曜日,曜日,,2,My birthday is May 25th.,32,es_word,ES,5,Blue Sky Elementary 5,,
clean my room,部屋を掃除する,家での仕事,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
do my homework,宿題をする,家での仕事,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
eat breakfast,朝ごはんを食べる,日課,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
feed the dog,犬にエサをやる,家での仕事,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
get the newspaper,新聞を取る,日課,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
get up,起きる,日課,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
go to bed,寝る,日課,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
go to school,学校に行く,日課,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
leave home,家を出る,日課,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
set the table,テーブルをセットする,家での仕事,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
take a bath,お風呂に入る,日課,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
take out the garbage,ゴミを出す,家での仕事,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
walk the dog,犬の散歩をする,日課,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
wash the dishes,食器を洗う,家での仕事,,3,I get up at 7:00.,32,es_word,ES,5,Blue Sky Elementary 5,,
water the flowers,花に水をやる,家での仕事,,3,I get up at 7:00.,44,es_word,ES,5,Blue Sky Elementary 5,,
cook,料理する,動作,,4,She can sing well.,44,es_word,ES,5,Blue Sky Elementary 5,,
dance,ダンスする,得意なこと,,4,She can sing well.,,es_word,ES,5,Blue Sky Elementary 5,,
play shogi,将棋をする,動作,,4,She can sing well.,44,es_word,ES,5,Blue Sky Elementary 5,,
play the piano,ピアノを弾く,身の回りの物,,4,She can sing well.,44,es_word,ES,5,Blue Sky Elementary 5,,
play volleyball,バレーボールをする,スポーツ,,4,She can sing well.,44,es_word,ES,5,Blue Sky Elementary 5,,
ride a unicycle,一輪車に乗る,動作,,4,She can sing well.,44,es_word,ES,5,Blue Sky Elementary 5,,
run fast,速く走る,得意なこと,,4,She can sing well.,44,es_word,ES,5,Blue Sky Elementary 5,,
sing well,よく歌う,得意なこと,,4,She can sing well.,44,es_word,ES,5,Blue Sky Elementary 5,,
skate,スケートする,スポーツ,,4,She can sing well.,44,es_word,ES,5,Blue Sky Elementary 5,,
ski,スキーをする,スポーツ,,4,She can sing well.,44,es_word,ES,5,Blue Sky Elementary 5,,
speak English,英語を話す,得意なこと,,4,She can sing well.,44,es_word,ES,5,Blue Sky Elementary 5,,
swim,泳ぐ,得意なこと,,4,She can sing well.,42,es_word,ES,5,Blue Sky Elementary 5,,
can,できる,得意なこと,,4,She can sing well.,45,es_word,ES,5,Blue Sky Elementary 5,,
can't,できない,得意なこと,,4,She can sing well.,42,es_word,ES,5,Blue Sky Elementary 5,,
grandparent(s),祖父母,"家族,友人",,5,This is my sister.,54,es_word,ES,5,Blue Sky Elementary 5,,
grandfather,祖父,"家族,友人",,5,This is my sister.,54,es_word,ES,5,Blue Sky Elementary 5,,
grandmother,祖母,"家族,友人",,5,This is my sister.,54,es_word,ES,5,Blue Sky Elementary 5,,
parent(s),両親,"家族,友人",,5,This is my sister.,54,es_word,ES,5,Blue Sky Elementary 5,,
father,父,"家族,友人",,5,This is my sister.,54,es_word,ES,5,Blue Sky Elementary 5,,
mother,母,"家族,友人",,5,This is my sister.,54,es_word,ES,5,Blue Sky Elementary 5,,
brother,兄弟,"家族,友人",,5,This is my sister.,54,es_word,ES,5,Blue Sky Elementary 5,,
sister,姉妹,"家族,友人",,5,This is my sister.,52,es_word,ES,5,Blue Sky Elementary 5,,
friend,友達,"家族,友人",,5,This is my sister.,36,es_word,ES,5,Blue Sky Elementary 5,,
brave,勇敢な,特徴,,5,This is my sister.,58,es_word,ES,5,Blue Sky Elementary 5,,
cheerful,陽気な,特徴,,5,This is my sister.,58,es_word,ES,5,Blue Sky Elementary 5,,
cool,かっこいい,特徴,,5,This is my sister.,58,es_word,ES,5,Blue Sky Elementary 5,,
cute,可愛い,特徴,,5,This is my sister.,58,es_word,ES,5,Blue Sky Elementary 5,,
friendly,フレンドリー,特徴,,5,This is my sister.,58,es_word,ES,5,Blue Sky Elementary 5,,
funny,面白い,特徴,,5,This is my sister.,58,es_word,ES,5,Blue Sky Elementary 5,,
kind,親切な,特徴,,5,This is my sister.,39,es_word,ES,5,Blue Sky Elementary 5,,
smart,賢い,特徴,,5,This is my sister.,58,es_word,ES,5,Blue Sky Elementary 5,,
strong,強い,特徴,,5,This is my sister.,,es_word,ES,5,Blue Sky Elementary 5,,
