english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
mark,マーク，印,名,,Unit 1,扉,7,,JHS,3,Blue Sky English Course 3
marks,[markの複数形],名,,Unit 1,扉,7,,JHS,3,Blue Sky English Course 3
sukiyaki,すき焼き,名,,Unit 1,Part 1,8,,JHS,3,Blue Sky English Course 3
I’ve,[I haveの短縮形],,,Unit 1,Part 1,8,,JHS,3,Blue Sky English Course 3
eaten,[eatの過去分詞形],動,,Unit 1,Part 1,8,,JHS,3,Blue Sky English Course 3
once,一度,副,,Unit 1,Part 1,8,important,JHS,3,Blue Sky English Course 3
been,[beの過去分詞形],動,,Unit 1,Part 1,8,,JHS,3,Blue Sky English Course 3
raw,生の,形,,Unit 1,Part 1,8,,JHS,3,Blue Sky English Course 3
bowl,鉢，わん,名,,Unit 1,Part 1,8,important,JHS,3,Blue Sky English Course 3
climb,～に登る,動,,Unit 1,Part 1,8,important,JHS,3,Blue Sky English Course 3
climbing,[climbのing形],動,,Unit 1,Part 1,8,,JHS,3,Blue Sky English Course 3
mountain,山,名,,Unit 1,Part 1,8,important,JHS,3,Blue Sky English Course 3
mountains,[mountainの複数形],名,,Unit 1,Part 1,8,,JHS,3,Blue Sky English Course 3
Mt.,[山の名前の前につけて] ～山,名,,Unit 1,Part 1,8,,JHS,3,Blue Sky English Course 3
twice,2回,副,,Unit 1,Part 1,8,,JHS,3,Blue Sky English Course 3
swum,[swimの過去分詞形],動,,Unit 1,Part 1,8,,JHS,3,Blue Sky English Course 3
plane,飛行機,名,,Unit 1,Part 1,9,important,JHS,3,Blue Sky English Course 3
several,いくつかの，数個の,形,,Unit 1,Part 1,9,,JHS,3,Blue Sky English Course 3
again,もう一度,副,,Unit 1,Part 1,9,important,JHS,3,Blue Sky English Course 3
ever,今までに,副,,Unit 1,Part 2,10,,JHS,3,Blue Sky English Course 3
haven’t,[have notの短縮形],,,Unit 1,Part 2,10,,JHS,3,Blue Sky English Course 3
never,一度も～ない,副,,Unit 1,Part 2,10,important,JHS,3,Blue Sky English Course 3
heard,[hearの過去形・過去分詞形},動,,Unit 1,Part 2,10,,JHS,3,Blue Sky English Course 3
hear of ～,～のことを聞く,連,,Unit 1,Part 2,10,,JHS,3,Blue Sky English Course 3
vegetarian,ベジタリアン，菜食主義者,名,,Unit 1,Part 2,10,,JHS,3,Blue Sky English Course 3
menu,メニュー,名,,Unit 1,Part 2,10,,JHS,3,Blue Sky English Course 3
city hall ,市役所,名,,Unit 1,Part 2,10,,JHS,3,Blue Sky English Course 3
ridden,[rideの過去分詞形],動,,Unit 1,Part 2,11,,JHS,3,Blue Sky English Course 3
camel,ラクダ,名,,Unit 1,Part 2,11,,JHS,3,Blue Sky English Course 3
snowman,雪だるま,名,,Unit 1,Part 2,11,,JHS,3,Blue Sky English Course 3
rainbow,虹,名,,Unit 1,Part 2,11,,JHS,3,Blue Sky English Course 3
aquarium,水族館,名,,Unit 1,Part 2,11,,JHS,3,Blue Sky English Course 3
celebrity,有名人,名,,Unit 1,Part 2,11,,JHS,3,Blue Sky English Course 3
search,さがす,動,,Unit 1,Part 3,12,,JHS,3,Blue Sky English Course 3
searching,[searchのing形],動,,Unit 1,Part 3,12,,JHS,3,Blue Sky English Course 3
search for ～,～をさがす,連,,Unit 1,Part 3,12,,JHS,3,Blue Sky English Course 3
Muslim,イスラム教徒,名,,Unit 1,Part 3,12,,JHS,3,Blue Sky English Course 3
Muslims,[Muslimの複数形],名,,Unit 1,Part 3,12,,JHS,3,Blue Sky English Course 3
yet,[疑問文で]もう，[否定文で]まだ,副,,Unit 1,Part 3,12,important,JHS,3,Blue Sky English Course 3
bathtub,バスタブ,名,,Unit 1,Part 3,12,,JHS,3,Blue Sky English Course 3
goldfish,金魚,名,,Unit 1,Part 3,12,,JHS,3,Blue Sky English Course 3
finish,～を終える,動,,Unit 1,Part 3,12,important,JHS,3,Blue Sky English Course 3
finished,[finishの過去形・過去分詞形],動,,Unit 1,Part 3,12,,JHS,3,Blue Sky English Course 3
done,[doの過去分詞形],動,,Unit 1,Part 3,12,,JHS,3,Blue Sky English Course 3
fed,[feedの過去形・過去分詞形],動,,Unit 1,Part 3,12,,JHS,3,Blue Sky English Course 3
already,すでに，もう,副,,Unit 1,Part 3,13,important,JHS,3,Blue Sky English Course 3
hasn’t,[has notの短縮形],,,Unit 1,Part 3,13,,JHS,3,Blue Sky English Course 3
halal,ハラール(の),形,,Unit 1,Read and Think,14,,JHS,3,Blue Sky English Course 3
