english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
here,ここに～があります。,連,Here's ～.,Let's Enjoy,,6,important,JHS,1,Columbus 21 English Course 1
last,昨年,連,last year,Let's Enjoy,,6,important,JHS,1,Columbus 21 English Course 1
like,（できたら）～したい,連,would like to ～,Let's Enjoy,,6,important,JHS,1,Columbus 21 English Course 1
come,～の出身である,連,come from ～,Let's Enjoy,,8,important,JHS,1,Columbus 21 English Course 1
first,最初の，初めの，第一の,形,,Let's Enjoy,,8,important,JHS,1,Columbus 21 English Course 1
in,③〔手段・材料を示して〕～で，～を使って,前,,Let's Enjoy,,8,important,JHS,1,Columbus 21 English Course 1
make,④～を…にする,動,,Let's Enjoy,,8,important,JHS,1,Columbus 21 English Course 1
speak,②（ある言語）を話す，～をしゃべる,動,,Let's Enjoy,,8,important,JHS,1,Columbus 21 English Course 1
trip,修学旅行,連,school trip,Let's Enjoy,,8,important,JHS,1,Columbus 21 English Course 1
well,～もまた,連,as well,Let's Enjoy,,8,important,JHS,1,Columbus 21 English Course 1
hard,難しい，困難な,形,,Let's Enjoy,,9,important,JHS,1,Columbus 21 English Course 1
all,全てが～というわけではない,連,not all of it,Let's Enjoy,,10,important,JHS,1,Columbus 21 English Course 1
cheer,②～を元気づける，～を励ます,動,,Let's Enjoy,,10,,JHS,1,Columbus 21 English Course 1
cheer,～を元気づける,連,cheer ～ up,Let's Enjoy,,10,,JHS,1,Columbus 21 English Course 1
dance,②ダンスパーティー，舞踏会,名,,Let's Enjoy,,10,important,JHS,1,Columbus 21 English Course 1
doesn't,～ですよね。,連,"～, doesn't he?",Let's Enjoy,,10,,JHS,1,Columbus 21 English Course 1
in,④〔形状・配列などを示して〕～の形で，～を成して,前,,Let's Enjoy,,10,important,JHS,1,Columbus 21 English Course 1
let's,ええと。そうねえ。,連,Let's see.,Let's Enjoy,,10,important,JHS,1,Columbus 21 English Course 1
so,それで，だから,接,,Let's Enjoy,,10,important,JHS,1,Columbus 21 English Course 1
ask,③～に頼む,動,,Let's Enjoy,,11,important,JHS,1,Columbus 21 English Course 1
ask,～に…してくださいと言う［頼む］,連,ask ～ to …,Let's Enjoy,,11,important,JHS,1,Columbus 21 English Course 1
apple,リンゴ,名,,Let's Enjoy,,12,,JHS,1,Columbus 21 English Course 1
baseball,野球,名,,Let's Enjoy,,12,important,JHS,1,Columbus 21 English Course 1
bird,鳥,名,,Let's Enjoy,,12,important,JHS,1,Columbus 21 English Course 1
bus,バス,名,,Let's Enjoy,,12,important,JHS,1,Columbus 21 English Course 1
cake,ケーキ,名,,Let's Enjoy,,12,important,JHS,1,Columbus 21 English Course 1
dog,イヌ,名,,Let's Enjoy,,12,important,JHS,1,Columbus 21 English Course 1
egg,卵,名,,Let's Enjoy,,12,important,JHS,1,Columbus 21 English Course 1
fish,魚,名,,Let's Enjoy,,12,important,JHS,1,Columbus 21 English Course 1
flower,花,名,,Let's Enjoy,,12,important,JHS,1,Columbus 21 English Course 1
juice,ジュース，果汁,名,,Let's Enjoy,,12,,JHS,1,Columbus 21 English Course 1
