english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
a,1つの,その他,It’s a kendama. (p.5),Spring Festival,,5,es_word,ES,5,Junior Sunshine 5
again,もう一度,その他,Let's try again. (p.47),Lesson 5,,47,es_word,ES,5,Junior Sunshine 5
am,～です,その他,Who am I? (p.22),Lesson 3,,22,es_word,ES,5,Junior Sunshine 5
Amy,エイミー（女子の名）,その他,Amy Brown (p.7),Lesson 1,,7,es_word,ES,5,Junior Sunshine 5
and,そして，～と,その他,"I have Japanese, math, science, and music. (p.22)",Lesson 3,,22,es_word,ES,5,Junior Sunshine 5
ant,アリ,動植物,,Lesson 3,,14,es_word,ES,5,Junior Sunshine 5
apple,リンゴ,飲食物 ,,Lesson 5,,47,es_word,ES,5,Junior Sunshine 5
April,4月,季節・月・曜日・時間,,Lesson 2,,13,es_word,ES,5,Junior Sunshine 5
are,～です,その他,Here you are. (p.66),Lesson 8,,66,es_word,ES,5,Junior Sunshine 5
arts and crafts,図画工作,学校生活,,Lesson 3,,18,es_word,ES,5,Junior Sunshine 5
at,～に,その他,Look at this picture. (p.50),Lesson 6,,50,es_word,ES,5,Junior Sunshine 5
August,8月,季節・月・曜日・時間,,Lesson 2,,13,es_word,ES,5,Junior Sunshine 5
autumn,秋,季節・月・曜日・時間,I like autumn. (p.15),Lesson 2,,12,es_word,ES,5,Junior Sunshine 5
badminton,バドミントン,スポーツ,play badminton  (p.27),Lesson 4,,27,es_word,ES,5,Junior Sunshine 5
bag,かばん,日常生活,It’s in the bag.  (p.42),Lesson 5,,42,es_word,ES,5,Junior Sunshine 5
ball,ボール,日常生活,,Lesson 3,,21,es_word,ES,5,Junior Sunshine 5
banana,バナナ,飲食物 ,I like bananas. (p.4),Spring Festival,,4,es_word,ES,5,Junior Sunshine 5
bank,銀行,町・施設・職業,,Lesson 5,,39,es_word,ES,5,Junior Sunshine 5
bat,バット,スポーツ,Is it a bat?  (p.42),Lesson 5,,42,es_word,ES,5,Junior Sunshine 5
bear,クマ,動植物,,Lesson 3,,86,es_word,ES,5,Junior Sunshine 5
beautiful,美しい,状態・気持ち,It’s very beautiful. (p.74),Lesson 9,,74,es_word,ES,5,Junior Sunshine 5
bed,ベッド,日常生活,,Lesson 5,,42,es_word,ES,5,Junior Sunshine 5
