english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
numbers,数,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
one,1,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
two,2,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
three,3,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
four,4,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
five,5,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
six,6,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
seven,7,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
eight,8,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
nine,9,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
ten,10,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
eleven,11,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
twelve,12,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
thirteen,13,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
fourteen,14,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
fifteen,15,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
sixteen,16,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
seventeen,17,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
eighteen,18,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
nineteen,19,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
twenty,20,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
twenty-one,21,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
twenty-two,22,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
twenty-three,23,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
twenty-four,24,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
twenty-five,25,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
twenty-six,26,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
twenty-seven,27,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
twenty-eight,28,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
twenty-nine,29,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
thirty,30,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
forty,40,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
fifty,50,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
sixty,60,数,,Unit 6,At a restaurant.,9,es_word,ES,5,New Horizon Elementary 5
