english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
welcome,"《間》ようこそ, いらっしゃい / 《形》歓迎される","形, 間",,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
to,"①【対象・関連】…に(とって) ②【方向・到達】…へ [に] , …のほうへ [に]  ③【不定詞(名詞的)】…する [である] こと ④【不定詞(副詞的)】…するために [目的を表す]  ⑤【不定詞(副詞的)】 …するのが ⑥【不定詞(形容詞的)】…するための, …すべき ⑦【不定詞(副詞的)】…して [原因を表す]  ⑧【疑問詞＋不定詞】…すべきか, …したらよいか, …のやり方 ⑨【不定詞(副詞的)】…するには, …するのに ⑩【時間・時刻】…まで, …(分)前 ⑪【比較・対照】…に対して, …よりも",前,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
junior,"年下の, 下級の",形,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
high,"高い,  [junior high school] 中学校",形,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
school,学校,名,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
hi,"やあ, こんにちは",間,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
I,私は [が] ,代,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
am,"《動》①…です, …だ ② (…に)いる, ある /《助》  [現在進行形やbe going toを作る] ","動, 助",,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
nice,"すてきな, よい",形,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
meet,"①…と知り合いになる ②(…に)会う, …と出会う, 面会する",動,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
you,①あなた(たち)を [に]  ②あなた(たち)は [が]  ③人は(だれでも) [話し相手を含めた一般の人をさす。日本語に訳さない場合が多い] ,代,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
what,"《代》何, どんなもの [こと]  / 《形》①何の, どんな ②なんと, なんて","形, 代",,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
is,"《助》① [受け身の形を作る]  ② [現在進行形やbe going toを作る]  / 《動》①…です, …だ ②(…に)いる, ある","動, 助",,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
your,あなた(たち)の,代,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
name,《名》名前 / 《動》(人など)に…という名前をつける,"名, 動",,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
my,私の,代,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
too,"①…もまた, そのうえ ②あまりに, …すぎる",副,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
make,"①(人・もの)を…の状態にする ②…を作る, 得る ③…をする, 行う",動,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
group,"グループ, 団体",名,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
of,"①【部分】…の中の [で] , …の ②【分量・種類】…の量の, …種類の ③【主題】…について ④【所属・所有】…の, …の所有する, …に属する ⑤【同格】…という, …の ⑥【原因・動機】…のため, …で ⑦【材料・要素】…で(作った), …から(成る)",前,,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
four,4(つの),"名, 形",,U0-1 ,,4,important,JHS,1,New Horizon English Course 1
I'm,#NAME?,,,U0-1 ,,4,,JHS,1,New Horizon English Course 1
welcome to ….,…へようこそ。,,,U0-1 ,,4,,JHS,1,New Horizon English Course 1
junior high (school),中学校,名,,U0-1 ,,4,,JHS,1,New Horizon English Course 1
what's,#NAME?,,,U0-1 ,,4,,JHS,1,New Horizon English Course 1
food,食べ物,名,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
do,"《助》① [疑問文や応答を作る]  ② [否定分や否定の命令文を作る]  / 《動》①(…を)する, 行う ②暮らす","動, 助",,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
like,"…を好む, …が好きである",動,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
curry,カレー(料理),名,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
and,"①…と~ ②そして, それから ③ [同じ語をandで結んで] ますます ④ [comeやgoのあとに用いて] …しに(来る, 行く) ⑤ [命令文のあとで] そうすれば",接,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
rice,"米, 稲, ご飯",名,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
curry and rice,カレーライス,名,,U0-1 ,,5,,JHS,1,New Horizon English Course 1
want,"…がほしい,  [want to…で] …したい,  [want … to ~で] …が~することを望む, …に~してほしい",動,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
join,"…に加わる, 参加する",動,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
the,"① [天体・時・方角など, 1つしかないものをさす場合] 〈the world 世界〉 ② [最上級・序数などの前で]  ③ [状況や文脈から何をさすかわかる場合] その ④ [固有名詞につけて] 〈the Paralympic Games パラリンピック〉 ⑤ [一度述べた名詞をくり返す場合] その, この, あの, 例の ⑥ [単数名詞につけて種類全体を表す] …というもの〈the crested ibis トキ〉 ⑦ [年代の10年をまとめて表す場合] 〈the 1990s 1990年代〉 ⑧ [形容詞につけて] …な [の] 人々〈the British イギリス人〉",冠,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
dance,"《名》ダンス, おどり／《動》おどる, ダンスをする","名, 動",,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
team,"チーム, 組",名,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
can,①【可能性】…することがあり得る ②【能力・可能】…することができる ③【申し出】 [Can I …?] …しましょうか。 ④【依頼】 [Can you …?] …してくれますか。 ⑤【許可】 [Can I …?] …してもよいですか。,助,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
well,"《間》① [ためらったり, 返事に詰まったりして] ええと, そうですね ② [話を切り出したり, 再び始めたりして] さて, ところで, それでは / 《形》健康で, 元気で, よい / 《副》じょうずに, うまく, よく","形, 副, 間",,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
art,"芸術, 美術",名,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
club,"クラブ, 部",名,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
painting,絵をかくこと,名,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
he,彼は [が] ,代,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
a,"①1つの, 1人の  [数えられる名詞の前に置く。ふつう訳さない]  ②…につき, …ごとに",冠,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
good,"《形》①よい ②じょうずな, うまい ③元気な, 健康な / 《間》よかった, よろしい","形, 間",,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
tennis,テニス,名,,U0-1 ,,5,important,JHS,1,New Horizon English Course 1
