english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook
hit,打つ,動,,Springboard,Nice to Meet You!,8,important,JHS,1,One World English Course 1
kid （子ども）,子ども,名,,Springboard,Nice to Meet You!,8,,JHS,1,One World English Course 1
pet,ペット,名,,Springboard,Nice to Meet You!,8,important,JHS,1,One World English Course 1
pin,ピン,名,,Springboard,Nice to Meet You!,8,,JHS,1,One World English Course 1
win,勝つ,動,,Springboard,Nice to Meet You!,8,important,JHS,1,One World English Course 1
back,うしろへ,副,,Springboard,Nice to Meet You!,9,important,JHS,1,One World English Course 1
backward,うしろへ,副,,Springboard,Nice to Meet You!,9,,JHS,1,One World English Course 1
clap,（手を）たたく,動,,Springboard,Nice to Meet You!,9,,JHS,1,One World English Course 1
forward,"前へ, 先へ",副,,Springboard,Nice to Meet You!,9,,JHS,1,One World English Course 1
goal,ゴール,名,,Springboard,Nice to Meet You!,9,,JHS,1,One World English Course 1
lose,"~をなくす, 失う",動,,Springboard,Nice to Meet You!,9,important,JHS,1,One World English Course 1
move,移動する,動,,Springboard,Nice to Meet You!,9,important,JHS,1,One World English Course 1
say,~と[を]言う,動,,Springboard,Nice to Meet You!,9,important,JHS,1,One World English Course 1
second （秒）,秒,名,,Springboard,Nice to Meet You!,9,,JHS,1,One World English Course 1
self introduction,自己紹介,名,,Springboard,Nice to Meet You!,9,,JHS,1,One World English Course 1
space,"空間, 区域",名,,Springboard,Nice to Meet You!,9,,JHS,1,One World English Course 1
tongue twister,早口言葉,名,,Springboard,Nice to Meet You!,9,,JHS,1,One World English Course 1
after,~のあとに,前,,Springboard,Nice to Meet You!,10,important,JHS,1,One World English Course 1
blackboard,黒板,名,,Springboard,Nice to Meet You!,10,,JHS,1,One World English Course 1
CD,"CD, コンパクトディスク",名,,Springboard,Nice to Meet You!,10,,JHS,1,One World English Course 1
front,前方,名,,Springboard,Nice to Meet You!,10,,JHS,1,One World English Course 1
group,グループ,名,,Springboard,Nice to Meet You!,10,important,JHS,1,One World English Course 1
into,~の中に[へ],前,,Springboard,Nice to Meet You!,10,important,JHS,1,One World English Course 1
page,ページ,名,,Springboard,Nice to Meet You!,10,,JHS,1,One World English Course 1
pair,"ペア, 2人1組",名,,Springboard,Nice to Meet You!,10,,JHS,1,One World English Course 1
raise,上げる,動,,Springboard,Nice to Meet You!,10,,JHS,1,One World English Course 1
repeat,くり返す,動,,Springboard,Nice to Meet You!,10,,JHS,1,One World English Course 1
seat,座席,名,,Springboard,Nice to Meet You!,10,,JHS,1,One World English Course 1
textbook,教科書,名,,Springboard,Nice to Meet You!,10,,JHS,1,One World English Course 1
pardon, (Pardon? で) もう一度言ってください。,名,,Springboard,Nice to Meet You!,11,,JHS,1,One World English Course 1
Robert West,ロバート・ウェスト,名,,Lesson 1,"Hello,  New friends",12,,JHS,1,One World English Course 1
call,~を…と呼ぶ,動,,Lesson 1,"Hello,  New friends",13,important,JHS,1,One World English Course 1
any,何か,形,,Lesson 1,"Hello,  New friends",15,important,JHS,1,One World English Course 1
interesting,おもしろい,形,,Lesson 1,"Hello,  New friends",15,important,JHS,1,One World English Course 1
writer,作家,名,,Lesson 1,"Hello,  New friends",16,,JHS,1,One World English Course 1
but,しかし,接,,Lesson 1,"Hello,  New friends",18,important,JHS,1,One World English Course 1
dear, (手紙の書き出しで) 親愛なる~,形,,Lesson 1,"Hello,  New friends",18,important,JHS,1,One World English Course 1
little, (a little で) 少し,副,,Lesson 1,"Hello,  New friends",18,important,JHS,1,One World English Course 1
octopus,タコ,名,,Lesson 1,"Hello,  New friends",18,,JHS,1,One World English Course 1
popular,人気がある,形,,Lesson 1,"Hello,  New friends",18,important,JHS,1,One World English Course 1
surfing,サーフィン,名,,Lesson 1,"Hello,  New friends",18,,JHS,1,One World English Course 1
Sydney,シドニー,名,,Lesson 1,"Hello,  New friends",18,,JHS,1,One World English Course 1
yourself,あなた自身,代,,Lesson 1,"Hello,  New friends",18,important,JHS,1,One World English Course 1
live,住む,動,,Lesson 1,"Hello,  New friends",21,important,JHS,1,One World English Course 1
talking,会話,名,,Lesson 1,"Hello,  New friends",22,,JHS,1,One World English Course 1
cooking,料理,名,,Lesson 2,Talking with Friends,23,,JHS,1,One World English Course 1
day,日,名,,Lesson 2,Talking with Friends,23,important,JHS,1,One World English Course 1
early,早く,副,,Lesson 2,Talking with Friends,23,important,JHS,1,One World English Course 1
every,毎~,形,,Lesson 2,Talking with Friends,23,important,JHS,1,One World English Course 1
family,家族,名,,Lesson 2,Talking with Friends,23,important,JHS,1,One World English Course 1
meter,メートル,名,,Lesson 2,Talking with Friends,23,important,JHS,1,One World English Course 1
